BMP,BMP Type,Fund Name,Amount Allocated,Amount Used,Amount Available,Segment,Start,End
O1-T1-P1 ,Crop Rotation,General Mills,"$150,000.00",$0.00,"$150,000.00",3,9/1/2023,8/31/2026
O1-T1-P1 ,Crop Rotation,Local Producers,"$13,750.00",$0.00,"$13,750.00",3,9/1/2023,8/31/2026
O1-T1-P1 ,Crop Rotation,USDA,"$13,750.00",$0.00,"$13,750.00",3,9/1/2023,8/31/2026
O1-T1-P2 ,Conservation Tillage Residue Management,319,"$12,000.00",$0.00,"$12,000.00",3,9/1/2023,8/31/2026
O1-T1-P2 ,Conservation Tillage Residue Management,General Mills,"$74,000.00",$0.00,"$74,000.00",3,9/1/2023,8/31/2026
O1-T1-P2 ,Conservation Tillage Residue Management,Local Producers,"$7,000.00",$0.00,"$7,000.00",3,9/1/2023,8/31/2026
O1-T1-P2 ,Conservation Tillage Residue Management,USDA,"$8,000.00",$0.00,"$8,000.00",3,9/1/2023,8/31/2026
O1-T1-P3,Cover Crops,319,"$300,000.00","$138,398.78","$161,601.22",3,9/1/2023,8/31/2026
O1-T1-P3,Cover Crops,General Mills,"$80,000.00","$4,109.23","$75,890.77",3,9/1/2023,8/31/2026
O1-T1-P3,Cover Crops,Local Producers,"$300,000.00","$223,313.54","$76,686.46",3,9/1/2023,8/31/2026
O1-T1-P4 ,Cropland Grazing Management,319,"$4,000.00","$2,128.50","$1,871.50",3,9/1/2023,8/31/2026
O1-T1-P4 ,Cropland Grazing Management,General Mills,"$80,000.00",$0.00,"$80,000.00",3,9/1/2023,8/31/2026
O1-T1-P4 ,Cropland Grazing Management,Local Producers,"$2,000.00","$2,128.50",-$128.50,3,9/1/2023,8/31/2026
O1-T1-P4 ,Cropland Grazing Management,USDA,"$2,000.00",$0.00,"$2,000.00",3,9/1/2023,8/31/2026
O1-T2-P5 ,Forage/Biomass Planting,319,"$6,000.00","$95,474.16","-$89,474.16",3,9/1/2023,8/31/2026
O1-T2-P5 ,Forage/Biomass Planting,Local Producers,"$5,500.00","$113,377.97","-$107,877.87",3,9/1/2023,8/31/2026
